Weight,Height
42,149
44,150
45,152
46,151
47,153
48,154
49,155
50,154
51,156
52,157
53,158
54,159
55,160
56,161
57,160
58,162
59,163
60,164
61,165
62,166
63,167
64,166
65,168
66,169
67,170
68,171
69,170
70,172
71,173
72,174
73,175
74,174
75,176
76,177
77,178
78,179
79,178
80,180
81,181
82,182
83,183
84,182
85,184
86,185
87,186
88,187
89,186
90,188
91,189
92,190
93,191
94,190
95,192
96,193
97,194
98,195
99,194
100,196
101,197
102,198
103,199
104,198
105,200
106,201
107,202
108,203
109,202
110,204
111,205
112,206
113,207
114,206
115,208
116,209
117,210
118,211
119,210
120,212
121,213
122,214
123,215
124,214
125,216
126,217
127,218
128,219
129,218
130,220
131,221
132,222
133,223
134,222
135,224
136,225
137,226
138,227
139,226
140,228
141,229
142,230
143,231
144,230
145,232
146,233
147,234
148,235
149,234
150,236
151,237
152,238
153,239
154,238
155,240
156,241
157,242
158,243
159,242
160,244
